"Outcome","Species","Stock.or.Area","Year","Month","Day","Interaction.Type","County.Locale","STATE","Initial.Injury.Assessment","Comments","Final.Injury.Assessment","SI.Criteria.Supporting.Assessment","MSI.Value","COUNT.AGAINST.LOF","COUNT.AGAINST.PBR"
NA,"CALIFORNIA SEA LION","U.S.",2021,11,24,"SHOOTING","SONOMA","CA","SI","LETHARGIC, EMACIATED, BULLET FOUND IN HEAD ON X-RAY. CIRCUMFERENTIAL SCAR FROM APPARENT PREVIOUS ENTANGLEMENT CRANIAL TO SCAPULA. BOTH KIDNEYS ENLARGED.","DEAD","NA",1,"N","Y"
NA,"CALIFORNIA SEA LION","U.S.",2021,11,27,"CATCH SHARES BOTTOM TRAWL","OFFSHORE","OR","DEAD","KILLED IN GEAR. OBSERVER PROGRAM.","DEAD","NA",1,"Y","Y"
NA,"CALIFORNIA SEA LION","U.S.",2021,11,NA,"GILLNET FISHERY, TRIBAL","NA","NA","DEAD","NORTHWEST INDIAN FISHERIES COMMISSION REPORT","DEAD","NA",1,"N","Y"
NA,"CALIFORNIA SEA LION","U.S.",2021,11,NA,"GILLNET FISHERY, TRIBAL","NA","NA","DEAD","NORTHWEST INDIAN FISHERIES COMMISSION REPORT","DEAD","NA",1,"N","Y"
NA,"CALIFORNIA SEA LION","U.S.",2021,11,NA,"GILLNET FISHERY, TRIBAL","NA","NA","DEAD","NORTHWEST INDIAN FISHERIES COMMISSION REPORT","DEAD","NA",1,"N","Y"
NA,"CALIFORNIA SEA LION","U.S.",2021,11,NA,"GILLNET FISHERY, TRIBAL","NA","NA","DEAD","NORTHWEST INDIAN FISHERIES COMMISSION REPORT","DEAD","NA",1,"N","Y"
NA,"CALIFORNIA SEA LION","U.S.",2021,11,NA,"GILLNET FISHERY, TRIBAL","NA","NA","DEAD","NORTHWEST INDIAN FISHERIES COMMISSION REPORT","DEAD","NA",1,"N","Y"
NA,"CALIFORNIA SEA LION","U.S.",2021,11,NA,"GILLNET FISHERY, TRIBAL","NA","NA","DEAD","NORTHWEST INDIAN FISHERIES COMMISSION REPORT","DEAD","NA",1,"N","Y"
NA,"CALIFORNIA SEA LION","U.S.",2021,11,NA,"GILLNET FISHERY, TRIBAL","NA","NA","DEAD","NORTHWEST INDIAN FISHERIES COMMISSION REPORT","DEAD","NA",1,"N","Y"
NA,"CALIFORNIA SEA LION","U.S.",2021,11,NA,"GILLNET FISHERY, TRIBAL","NA","NA","DEAD","NORTHWEST INDIAN FISHERIES COMMISSION REPORT","DEAD","NA",1,"N","Y"
NA,"CALIFORNIA SEA LION","U.S.",2021,11,NA,"GILLNET FISHERY, TRIBAL","NA","NA","DEAD","NORTHWEST INDIAN FISHERIES COMMISSION REPORT","DEAD","NA",1,"N","Y"
NA,"CALIFORNIA SEA LION","U.S.",2021,11,NA,"GILLNET FISHERY, TRIBAL","NA","NA","DEAD","NORTHWEST INDIAN FISHERIES COMMISSION REPORT","DEAD","NA",1,"N","Y"
NA,"CALIFORNIA SEA LION","U.S.",2021,11,NA,"GILLNET FISHERY, TRIBAL","NA","NA","DEAD","NORTHWEST INDIAN FISHERIES COMMISSION REPORT","DEAD","NA",1,"N","Y"
NA,"CALIFORNIA SEA LION","U.S.",2021,11,NA,"GILLNET FISHERY, TRIBAL","NA","NA","DEAD","NORTHWEST INDIAN FISHERIES COMMISSION REPORT","DEAD","NA",1,"N","Y"
NA,"CALIFORNIA SEA LION","U.S.",2021,11,NA,"GILLNET FISHERY, TRIBAL","NA","NA","DEAD","NORTHWEST INDIAN FISHERIES COMMISSION REPORT","DEAD","NA",1,"N","Y"
NA,"CALIFORNIA SEA LION","U.S.",2021,11,NA,"GILLNET FISHERY, TRIBAL","NA","NA","DEAD","NORTHWEST INDIAN FISHERIES COMMISSION REPORT","DEAD","NA",1,"N","Y"
NA,"CALIFORNIA SEA LION","U.S.",2021,11,NA,"GILLNET FISHERY, TRIBAL","NA","NA","DEAD","NORTHWEST INDIAN FISHERIES COMMISSION REPORT","DEAD","NA",1,"N","Y"
NA,"CALIFORNIA SEA LION","U.S.",2021,11,NA,"GILLNET FISHERY, TRIBAL","NA","NA","DEAD","NORTHWEST INDIAN FISHERIES COMMISSION REPORT","DEAD","NA",1,"N","Y"
NA,"CALIFORNIA SEA LION","U.S.",2021,11,NA,"GILLNET FISHERY, TRIBAL","NA","NA","DEAD","NORTHWEST INDIAN FISHERIES COMMISSION REPORT","DEAD","NA",1,"N","Y"
NA,"CALIFORNIA SEA LION","U.S.",2021,11,NA,"GILLNET FISHERY, TRIBAL","NA","NA","DEAD","NORTHWEST INDIAN FISHERIES COMMISSION REPORT","DEAD","NA",1,"N","Y"
NA,"CALIFORNIA SEA LION","U.S.",2021,11,NA,"GILLNET FISHERY, TRIBAL","NA","NA","DEAD","NORTHWEST INDIAN FISHERIES COMMISSION REPORT","DEAD","NA",1,"N","Y"
NA,"CALIFORNIA SEA LION","U.S.",2021,11,NA,"GILLNET FISHERY, TRIBAL","NA","NA","DEAD","NORTHWEST INDIAN FISHERIES COMMISSION REPORT","DEAD","NA",1,"N","Y"
NA,"CALIFORNIA SEA LION","U.S.",2021,11,NA,"GILLNET FISHERY, TRIBAL","NA","NA","DEAD","NORTHWEST INDIAN FISHERIES COMMISSION REPORT","DEAD","NA",1,"N","Y"
NA,"CALIFORNIA SEA LION","U.S.",2021,11,NA,"GILLNET FISHERY, TRIBAL","NA","NA","DEAD","NORTHWEST INDIAN FISHERIES COMMISSION REPORT","DEAD","NA",1,"N","Y"
NA,"CALIFORNIA SEA LION","U.S.",2021,11,NA,"GILLNET FISHERY, TRIBAL","NA","NA","DEAD","NORTHWEST INDIAN FISHERIES COMMISSION REPORT","DEAD","NA",1,"N","Y"
NA,"CALIFORNIA SEA LION","U.S.",2021,11,NA,"GILLNET FISHERY, TRIBAL","NA","NA","DEAD","NORTHWEST INDIAN FISHERIES COMMISSION REPORT","DEAD","NA",1,"N","Y"
NA,"CALIFORNIA SEA LION","U.S.",2021,11,NA,"GILLNET FISHERY, TRIBAL","NA","NA","DEAD","NORTHWEST INDIAN FISHERIES COMMISSION REPORT","DEAD","NA",1,"N","Y"
NA,"CALIFORNIA SEA LION","U.S.",2021,11,NA,"GILLNET FISHERY, TRIBAL","NA","NA","DEAD","NORTHWEST INDIAN FISHERIES COMMISSION REPORT","DEAD","NA",1,"N","Y"
NA,"CALIFORNIA SEA LION","U.S.",2021,11,NA,"GILLNET FISHERY, TRIBAL","NA","NA","DEAD","NORTHWEST INDIAN FISHERIES COMMISSION REPORT","DEAD","NA",1,"N","Y"
NA,"CALIFORNIA SEA LION","U.S.",2021,11,NA,"GILLNET FISHERY, TRIBAL","NA","NA","DEAD","NORTHWEST INDIAN FISHERIES COMMISSION REPORT","DEAD","NA",1,"N","Y"
NA,"CALIFORNIA SEA LION","U.S.",2021,11,NA,"GILLNET FISHERY, TRIBAL","NA","NA","DEAD","NORTHWEST INDIAN FISHERIES COMMISSION REPORT","DEAD","NA",1,"N","Y"
NA,"CALIFORNIA SEA LION","U.S.",2021,11,NA,"GILLNET FISHERY, TRIBAL","NA","NA","DEAD","NORTHWEST INDIAN FISHERIES COMMISSION REPORT","DEAD","NA",1,"N","Y"
NA,"CALIFORNIA SEA LION","U.S.",2021,11,NA,"GILLNET FISHERY, TRIBAL","NA","NA","DEAD","NORTHWEST INDIAN FISHERIES COMMISSION REPORT","DEAD","NA",1,"N","Y"
NA,"CALIFORNIA SEA LION","U.S.",2021,11,NA,"GILLNET FISHERY, TRIBAL","NA","NA","DEAD","NORTHWEST INDIAN FISHERIES COMMISSION REPORT","DEAD","NA",1,"N","Y"
NA,"CALIFORNIA SEA LION","U.S.",2021,11,NA,"GILLNET FISHERY, TRIBAL","NA","NA","DEAD","NORTHWEST INDIAN FISHERIES COMMISSION REPORT","DEAD","NA",1,"N","Y"
NA,"CALIFORNIA SEA LION","U.S.",2021,11,NA,"GILLNET FISHERY, TRIBAL","NA","NA","DEAD","NORTHWEST INDIAN FISHERIES COMMISSION REPORT","DEAD","NA",1,"N","Y"
NA,"CALIFORNIA SEA LION","U.S.",2021,11,NA,"GILLNET FISHERY, TRIBAL","NA","NA","DEAD","NORTHWEST INDIAN FISHERIES COMMISSION REPORT","DEAD","NA",1,"N","Y"
NA,"CALIFORNIA SEA LION","U.S.",2021,11,NA,"GILLNET FISHERY, TRIBAL","NA","NA","DEAD","NORTHWEST INDIAN FISHERIES COMMISSION REPORT","DEAD","NA",1,"N","Y"
NA,"CALIFORNIA SEA LION","U.S.",2021,11,NA,"GILLNET FISHERY, TRIBAL","NA","NA","DEAD","NORTHWEST INDIAN FISHERIES COMMISSION REPORT","DEAD","NA",1,"N","Y"
NA,"CALIFORNIA SEA LION","U.S.",2021,11,NA,"GILLNET FISHERY, TRIBAL","NA","NA","DEAD","NORTHWEST INDIAN FISHERIES COMMISSION REPORT","DEAD","NA",1,"N","Y"
NA,"CALIFORNIA SEA LION","U.S.",2021,11,NA,"GILLNET FISHERY, TRIBAL","NA","NA","DEAD","NORTHWEST INDIAN FISHERIES COMMISSION REPORT","DEAD","NA",1,"N","Y"
NA,"CALIFORNIA SEA LION","U.S.",2021,11,NA,"GILLNET FISHERY, TRIBAL","NA","NA","DEAD","NORTHWEST INDIAN FISHERIES COMMISSION REPORT","DEAD","NA",1,"N","Y"
NA,"CALIFORNIA SEA LION","U.S.",2021,11,NA,"GILLNET FISHERY, TRIBAL","NA","NA","DEAD","NORTHWEST INDIAN FISHERIES COMMISSION REPORT","DEAD","NA",1,"N","Y"
NA,"CALIFORNIA SEA LION","U.S.",2021,11,NA,"GILLNET FISHERY, TRIBAL","NA","NA","DEAD","NORTHWEST INDIAN FISHERIES COMMISSION REPORT","DEAD","NA",1,"N","Y"
NA,"CALIFORNIA SEA LION","U.S.",2021,11,NA,"GILLNET FISHERY, TRIBAL","NA","NA","DEAD","NORTHWEST INDIAN FISHERIES COMMISSION REPORT","DEAD","NA",1,"N","Y"
NA,"CALIFORNIA SEA LION","U.S.",2021,11,NA,"GILLNET FISHERY, TRIBAL","NA","NA","DEAD","NORTHWEST INDIAN FISHERIES COMMISSION REPORT","DEAD","NA",1,"N","Y"
NA,"CALIFORNIA SEA LION","U.S.",2021,11,NA,"GILLNET FISHERY, TRIBAL","NA","NA","DEAD","NORTHWEST INDIAN FISHERIES COMMISSION REPORT","DEAD","NA",1,"N","Y"
NA,"CALIFORNIA SEA LION","U.S.",2021,11,NA,"GILLNET FISHERY, TRIBAL","NA","NA","DEAD","NORTHWEST INDIAN FISHERIES COMMISSION REPORT","DEAD","NA",1,"N","Y"
NA,"CALIFORNIA SEA LION","U.S.",2021,11,NA,"GILLNET FISHERY, TRIBAL","NA","NA","DEAD","NORTHWEST INDIAN FISHERIES COMMISSION REPORT","DEAD","NA",1,"N","Y"
NA,"CALIFORNIA SEA LION","U.S.",2021,11,NA,"GILLNET FISHERY, TRIBAL","NA","NA","DEAD","NORTHWEST INDIAN FISHERIES COMMISSION REPORT","DEAD","NA",1,"N","Y"
NA,"CALIFORNIA SEA LION","U.S.",2021,11,NA,"GILLNET FISHERY, TRIBAL","NA","NA","DEAD","NORTHWEST INDIAN FISHERIES COMMISSION REPORT","DEAD","NA",1,"N","Y"
NA,"CALIFORNIA SEA LION","U.S.",2021,11,NA,"GILLNET FISHERY, TRIBAL","NA","NA","DEAD","NORTHWEST INDIAN FISHERIES COMMISSION REPORT","DEAD","NA",1,"N","Y"
NA,"CALIFORNIA SEA LION","U.S.",2021,11,NA,"GILLNET FISHERY, TRIBAL","NA","NA","DEAD","NORTHWEST INDIAN FISHERIES COMMISSION REPORT","DEAD","NA",1,"N","Y"
NA,"CALIFORNIA SEA LION","U.S.",2021,11,NA,"GILLNET FISHERY, TRIBAL","NA","NA","DEAD","NORTHWEST INDIAN FISHERIES COMMISSION REPORT","DEAD","NA",1,"N","Y"
NA,"CALIFORNIA SEA LION","U.S.",2021,11,NA,"GILLNET FISHERY, TRIBAL","NA","NA","DEAD","NORTHWEST INDIAN FISHERIES COMMISSION REPORT","DEAD","NA",1,"N","Y"
NA,"CALIFORNIA SEA LION","U.S.",2021,11,NA,"GILLNET FISHERY, TRIBAL","NA","NA","DEAD","NORTHWEST INDIAN FISHERIES COMMISSION REPORT","DEAD","NA",1,"N","Y"
NA,"CALIFORNIA SEA LION","U.S.",2021,11,NA,"GILLNET FISHERY, TRIBAL","NA","NA","DEAD","NORTHWEST INDIAN FISHERIES COMMISSION REPORT","DEAD","NA",1,"N","Y"
NA,"CALIFORNIA SEA LION","U.S.",2021,11,NA,"GILLNET FISHERY, TRIBAL","NA","NA","DEAD","NORTHWEST INDIAN FISHERIES COMMISSION REPORT","DEAD","NA",1,"N","Y"
NA,"CALIFORNIA SEA LION","U.S.",2021,11,NA,"GILLNET FISHERY, TRIBAL","NA","NA","DEAD","NORTHWEST INDIAN FISHERIES COMMISSION REPORT","DEAD","NA",1,"N","Y"
NA,"CALIFORNIA SEA LION","U.S.",2021,11,NA,"GILLNET FISHERY, TRIBAL","NA","NA","DEAD","NORTHWEST INDIAN FISHERIES COMMISSION REPORT","DEAD","NA",1,"N","Y"
NA,"CALIFORNIA SEA LION","U.S.",2021,11,NA,"GILLNET FISHERY, TRIBAL","NA","NA","DEAD","NORTHWEST INDIAN FISHERIES COMMISSION REPORT","DEAD","NA",1,"N","Y"
NA,"CALIFORNIA SEA LION","U.S.",2021,11,NA,"GILLNET FISHERY, TRIBAL","NA","NA","DEAD","NORTHWEST INDIAN FISHERIES COMMISSION REPORT","DEAD","NA",1,"N","Y"
NA,"CALIFORNIA SEA LION","U.S.",2021,11,NA,"GILLNET FISHERY, TRIBAL","NA","NA","DEAD","NORTHWEST INDIAN FISHERIES COMMISSION REPORT","DEAD","NA",1,"N","Y"
NA,"CALIFORNIA SEA LION","U.S.",2021,12,6,"CATCH SHARES BOTTOM TRAWL","OFFSHORE","OR","DEAD","KILLED IN GEAR. OBSERVER PROGRAM.","DEAD","NA",1,"Y","Y"
NA,"CALIFORNIA SEA LION","U.S.",2021,12,8,"OPEN ACCESS CA HALIBUT BOTTOM TRAWL","OFFSHORE","CA","DEAD","KILLED IN GEAR. OBSERVER PROGRAM.","DEAD","NA",1,"Y","Y"
NA,"CALIFORNIA SEA LION","U.S.",2021,12,13,"SHOOTING","KITSAP","WA","DEAD","RECOVERED 4 SHOT PELLET 2 OR 3-0 BUCK SHOT FROM HEAD AND NECK","DEAD","NA",1,"N","Y"
NA,"CALIFORNIA SEA LION","U.S.",2021,12,19,"GILLNET FISHERY","SANTA BARBARA","CA","SI","ADULT CSL PRESENTS WITH 10CM WIDE, 0.05 - 1 CM DEEP FULL CIRCUMFERENCE LACERATION AROUND NECK FROM GILL NET. CSL CAPTURED, CUT FISHING LINE FROM ANIMALS NECK WITHOUT NEED FOR SEDATION. VETERINARIAN DETERMINED THAT THE LACERATIONS AROUND NECK WERE SUPERFICIAL AND IMMEDIATELY RELEASED ANIMAL POST FISHING LINE REMOVAL.","NSI","P7B",0,"Y","N"
NA,"CALIFORNIA SEA LION","U.S.",2021,12,29,"SHOOTING","KING","WA","DEAD","CONFIRMED GUN SHOT WOUND TO HEAD AND NECK. ANIMAL WENT OUT WITH THE TIDE AND WAS GONE MONDAY. MULTIPLE GUNSHOT FRAGMENTS CONFIRMED ON RADIOGRAPHS.","DEAD","NA",1,"N","Y"
NA,"CALIFORNIA SEA LION","U.S.",2021,12,NA,"GILLNET FISHERY, TRIBAL","NA","NA","DEAD","NORTHWEST INDIAN FISHERIES COMMISSION REPORT","DEAD","NA",1,"N","Y"
NA,"CALIFORNIA SEA LION","U.S.",2021,12,NA,"GILLNET FISHERY, TRIBAL","NA","NA","DEAD","NORTHWEST INDIAN FISHERIES COMMISSION REPORT","DEAD","NA",1,"N","Y"
NA,"CALIFORNIA SEA LION","U.S.",2021,12,NA,"GILLNET FISHERY, TRIBAL","NA","NA","DEAD","NORTHWEST INDIAN FISHERIES COMMISSION REPORT","DEAD","NA",1,"N","Y"
NA,"CALIFORNIA SEA LION","U.S.",2021,12,NA,"GILLNET FISHERY, TRIBAL","NA","NA","DEAD","NORTHWEST INDIAN FISHERIES COMMISSION REPORT","DEAD","NA",1,"N","Y"
NA,"CALIFORNIA SEA LION","U.S.",2022,1,9,"UNIDENTIFIED FISHERY ENTANGLEMENT","SAN FRANCISCO","CA","SI","BRAIDED ROPE WRAPPED AROUND SHOULDERS AND NECK. GEAR WAS CUT AND NOTICEABLY LOOSER THAN BEFORE AND TEAM BELIEVES IT WILL WORK ITSELF LOOSE. ANIMAL SWAM OFF AFTER GEAR WAS CUT.","NSI","P8B",0,"N","N"
NA,"CALIFORNIA SEA LION","U.S.",2022,1,24,"VEHICLE COLLISION","MONTEREY","CA","DEAD","FOUND ON ROAD WITH BLUNT FORCE TRAUMA INJURIES AS CAUSE OF DEATH.","DEAD","NA",1,"N","Y"
"DEAD","CALIFORNIA SEA LION","U.S.",2022,1,NA,"GILLNET FISHERY, TRIBAL","NA","NA","DEAD","NORTHWEST INDIAN FISHERIES COMMISSION REPORT","DEAD","NA",1,"N","Y"
"DEAD","CALIFORNIA SEA LION","U.S.",2022,1,NA,"GILLNET FISHERY, TRIBAL","NA","NA","DEAD","NORTHWEST INDIAN FISHERIES COMMISSION REPORT","DEAD","NA",1,"N","Y"
NA,"CALIFORNIA SEA LION","U.S.",2022,2,2,"HOOK AND LINE FISHERY","SANTA BARBARA","CA","SI","HOOK AND LINE FISHERY. CSL YEARLING RESCUED DUE TO BEING LETHARGIC, THIN, AND HAVING A FULL CIRCUMFERENCE OF MONOFILAMENT AROUND NECK WITH A LACERATION ON BACK OF NECK. SIGNIFICANT WOUND AND INFECTION WITH REDUCED IMMUNE RESPONSE INDICATIVE OF LONG TERM ENTANGLEMENT CAUSING REDUCED ABILITY TO FORAGE. OUTCOME UNKNOWN.","SI","P8A",1,"N","Y"
NA,"CALIFORNIA SEA LION","U.S.",2022,2,6,"HOOK AND LINE FISHERY","SANTA BARBARA","CA","SI","THIN ANIMAL WITH FISHING LINE AROUND NECK. ANIMAL TREATED AT REHAB FACILITY.","NSI","P7B",0,"N","N"
NA,"CALIFORNIA SEA LION","U.S.",2022,2,11,"HOOK AND LINE FISHERY","LOS ANGELES","CA","SI","ANIMAL WITH GAFF-LIKE PUNCTURE WOUNDS AND FOREIGN BODY  -  HOOK. NO FURTHER DETAILS.","SI","P9",1,"N","Y"
NA,"CALIFORNIA SEA LION","U.S.",2022,2,18,"OPEN ACCESS CA HALIBUT BOTTOM TRAWL","OFFSHORE","CA","DEAD","KILLED IN GEAR. OBSERVER PROGRAM.","DEAD","NA",1,"Y","Y"
"DEAD","CALIFORNIA SEA LION","U.S.",2022,2,NA,"GILLNET FISHERY, TRIBAL","NA","NA","DEAD","NORTHWEST INDIAN FISHERIES COMMISSION REPORT","DEAD","NA",1,"N","Y"
"DEAD","CALIFORNIA SEA LION","U.S.",2022,2,NA,"GILLNET FISHERY, TRIBAL","NA","NA","DEAD","NORTHWEST INDIAN FISHERIES COMMISSION REPORT","DEAD","NA",1,"N","Y"
NA,"CALIFORNIA SEA LION","U.S.",2022,3,2,"HOOK AND LINE FISHERY","SAN DIEGO","CA","SI","FISHING LINE AROUND NECK. GEAR REMOVED ON SITE, ANIMAL RELEASED","NSI","P7B",0,"N","N"
NA,"CALIFORNIA SEA LION","U.S.",2022,3,2,"OPEN ACCESS CA HALIBUT BOTTOM TRAWL","OFFSHORE","CA","DEAD","KILLED IN GEAR. OBSERVER PROGRAM.","DEAD","NA",1,"Y","Y"
NA,"CALIFORNIA SEA LION","U.S.",2022,3,2,"OPEN ACCESS CA HALIBUT BOTTOM TRAWL","OFFSHORE","CA","DEAD","KILLED IN GEAR. OBSERVER PROGRAM.","DEAD","NA",1,"Y","Y"
NA,"CALIFORNIA SEA LION","U.S.",2022,3,3,"GILLNET FISHERY","LOS ANGELES","CA","SI","NARRATIVE STATES A MALNOURISHED ANIMAL WITH A GILLNET ENTANGLEMENT AND NO OTHER DETAILS.","SI","P1",1,"Y","Y"
NA,"CALIFORNIA SEA LION","U.S.",2022,3,8,"SHOOTING","CLATSOP","OR","DEAD","GOOD BODY CONDITION; HEAD BLOODY; BULLET HOLE NEAR PELVIS ON RIGHT SIDE; TRAUMA ALONG DORSAL SPINE.","DEAD","NA",1,"N","Y"
NA,"CALIFORNIA SEA LION","U.S.",2022,3,28,"SEAL BOMB","SAN MATEO","CA","DEAD","SEVERE JAW TRAUMA - FRACTURE, DEVIATION OF ENTIRE MANDIBLE TO THE LEFT WITH TRAUMA TO TONGUE SUGGESTIVE OF A SEAL BOMB.  HAIR WAS MISSING AND BURNED AT TIP OF THE ROSTRUM ON BOTH UPPER AND LOWER LIPS. DUE TO SEAL BOMB. BLUBBER WAS ATROPHIED.  LEFT HUMERUS HAD A FRACTURED FRAGMENT THAT RADIATED FROM THE LATERAL SURFACE. RIGHT SHOULDER JOINT WAS SLIGHTLY IMMOBILE. TONGUE MODERATELY THICKENED. ORAL MUCOSA HAD BURN MARKS AND SEVERE ULCERATION.","DEAD","NA",1,"Y","Y"
"DEAD","CALIFORNIA SEA LION","U.S.",2022,3,NA,"LONGLINE FISHERY, TRIBAL","NA","NA","DEAD","NORTHWEST INDIAN FISHERIES COMMISSION REPORT","DEAD","NA",1,"N","Y"
"DEAD","CALIFORNIA SEA LION","U.S.",2022,3,NA,"LONGLINE FISHERY, TRIBAL","NA","NA","DEAD","NORTHWEST INDIAN FISHERIES COMMISSION REPORT","DEAD","NA",1,"N","Y"
"DEAD","CALIFORNIA SEA LION","U.S.",2022,3,NA,"LONGLINE FISHERY, TRIBAL","NA","NA","DEAD","NORTHWEST INDIAN FISHERIES COMMISSION REPORT","DEAD","NA",1,"N","Y"
NA,"CALIFORNIA SEA LION","U.S.",2022,4,3,"HOOK AND LINE FISHERY","SANTA BARBARA","CA","SI","EMACIATED YEARLING RESCUED DUE TO HAVING MONOFILAMENT ENTANGLEMENT AND OPEN WOUND.  1CM DEEP X3 WIDE FULL CIRCUMFERENCE LACERATION ON NECK DUE TO MONOFILAMENT LINE. REMOVED LINE DURING INTAKE EXAM.  DIED SHORTLY AFTER EXAM. CAUSE OF DEATH IS SEPSIS DUE TO TRAUMA FROM MONOFILAMENT.","DEAD","P8A",1,"N","Y"
NA,"CALIFORNIA SEA LION","U.S.",2022,4,6,"SCIENTIFIC RESEARCH","YOLO","CA","DEAD","INCIDENTAL DROWNING IN A FISH RESEARCH FYKE TRAP.","DEAD","NA",1,"N","Y"
NA,"CALIFORNIA SEA LION","U.S.",2022,4,7,"HOOK AND LINE FISHERY","LOS ANGELES","CA","SI","MALNOURISHED PUP WITH FISHING HOOK IN ITS SIDE. NO FURTHER DETAILS.","SI","P1",1,"N","Y"
NA,"CALIFORNIA SEA LION","U.S.",2022,4,10,"VESSEL STRIKE","SAN DIEGO","CA","SI","PUP WITH MULTIPLE FRACTURES ON SPINE AND SHOULDER. REPORTING PARTY SAID ANIMAL WAS ON THE SAME SPOT APPROX ONE WEEK. TWO CLEAN CUTS (APPROX 40CM) ABOVE - NEAR NAIL. LETHARGIC. SUSPECT PROPELLER WOUND.","SI","P15",1,"N","Y"
NA,"CALIFORNIA SEA LION","U.S.",2022,4,14,"OPEN ACCESS CA HALIBUT BOTTOM TRAWL","OFFSHORE","CA","DEAD","KILLED IN GEAR. OBSERVER PROGRAM.","DEAD","NA",1,"Y","Y"
NA,"CALIFORNIA SEA LION","U.S.",2022,4,14,"OPEN ACCESS CA HALIBUT BOTTOM TRAWL","OFFSHORE","CA","DEAD","KILLED IN GEAR. OBSERVER PROGRAM.","DEAD","NA",1,"Y","Y"
NA,"CALIFORNIA SEA LION","U.S.",2022,4,17,"GILLNET FISHERY","SANTA BARBARA","CA","SI","MULTIPLE LAYERS OF GILLNET EMBEDDED IN NECK. ANIMAL IN POOR CONDITION. SEDATED ON SITE AND TRANSFERRED TO REHAB FOR TREATMENT AND GEAR REMOVAL.","NSI","P7B",0,"Y","N"
NA,"CALIFORNIA SEA LION","U.S.",2022,4,20,"AUTHORIZED MMPA SEC. 120 REMOVAL","MULTNOMAH","OR","DEAD","LETHAL REMOVAL OF ANIMAL PREYING ON ENDANGERED SALMON","DEAD","NA",1,"N","Y"
NA,"CALIFORNIA SEA LION","U.S.",2022,4,22,"GILLNET FISHERY","SANTA BARBARA","CA","SI","EMACIATED ANIMAL WITH GILLNET AROUND NECK. NO OTHER DETAILS.","SI","P8A",1,"Y","Y"
NA,"CALIFORNIA SEA LION","U.S.",2022,4,26,"AUTHORIZED MMPA SEC. 120 REMOVAL","MULTNOMAH","OR","DEAD","LETHAL REMOVAL OF ANIMAL PREYING ON ENDANGERED SALMON","DEAD","NA",1,"N","Y"
NA,"CALIFORNIA SEA LION","U.S.",2022,4,26,"AUTHORIZED MMPA SEC. 120 REMOVAL","MULTNOMAH","OR","DEAD","LETHAL REMOVAL OF ANIMAL PREYING ON ENDANGERED SALMON","DEAD","NA",1,"N","Y"
NA,"CALIFORNIA SEA LION","U.S.",2022,4,26,"AUTHORIZED MMPA SEC. 120 REMOVAL","MULTNOMAH","OR","DEAD","LETHAL REMOVAL OF ANIMAL PREYING ON ENDANGERED SALMON","DEAD","NA",1,"N","Y"
NA,"CALIFORNIA SEA LION","U.S.",2022,4,27,"HOOK AND LINE FISHERY","ORANGE","CA","SI","ANIMAL STRANDED WITH HOOK AND FISHING LINE IN ORAL CAVITY. REPORT INDICATES A RESCUE MISSION WAS INITIATED, BUT NO OTHER DETAILS ON WHETHER ANIMAL WAS CAUGHT AND TREATED.","SI","P2",1,"N","Y"
NA,"CALIFORNIA SEA LION","U.S.",2022,4,28,"AUTHORIZED MMPA SEC. 120 REMOVAL","MULTNOMAH","OR","DEAD","LETHAL REMOVAL OF ANIMAL PREYING ON ENDANGERED SALMON","DEAD","NA",1,"N","Y"
"DEAD","CALIFORNIA SEA LION","U.S.",2022,4,NA,"GILLNET FISHERY, TRIBAL","NA","NA","DEAD","NORTHWEST INDIAN FISHERIES COMMISSION REPORT","DEAD","NA",1,"N","Y"
NA,"CALIFORNIA SEA LION","U.S.",2022,5,3,"AUTHORIZED MMPA SEC. 120 REMOVAL","MULTNOMAH","OR","DEAD","LETHAL REMOVAL OF ANIMAL PREYING ON ENDANGERED SALMON","DEAD","NA",1,"N","Y"
NA,"CALIFORNIA SEA LION","U.S.",2022,5,3,"AUTHORIZED MMPA SEC. 120 REMOVAL","MULTNOMAH","OR","DEAD","LETHAL REMOVAL OF ANIMAL PREYING ON ENDANGERED SALMON","DEAD","NA",1,"N","Y"
NA,"CALIFORNIA SEA LION","U.S.",2022,5,3,"AUTHORIZED MMPA SEC. 120 REMOVAL","MULTNOMAH","OR","DEAD","LETHAL REMOVAL OF ANIMAL PREYING ON ENDANGERED SALMON","DEAD","NA",1,"N","Y"
NA,"CALIFORNIA SEA LION","U.S.",2022,5,3,"AUTHORIZED MMPA SEC. 120 REMOVAL","MULTNOMAH","OR","DEAD","LETHAL REMOVAL OF ANIMAL PREYING ON ENDANGERED SALMON","DEAD","NA",1,"N","Y"
NA,"CALIFORNIA SEA LION","U.S.",2022,5,3,"SHOOTING","SAN FRANCISCO","CA","DEAD","BULLETS FOUND IN MUSCLE ON DORSAL SIDE OF SKULL OF CARCASS.","DEAD","NA",1,"N","Y"
NA,"CALIFORNIA SEA LION","U.S.",2022,5,4,"AUTHORIZED MMPA SEC. 120 REMOVAL","MULTNOMAH","OR","DEAD","LETHAL REMOVAL OF ANIMAL PREYING ON ENDANGERED SALMON","DEAD","NA",1,"N","Y"
